report_number	local_case_number	agency_name	acrs_report_type	crash_date_time	route_type	collision_type	weather	surface_condition	light	traffic_control	driver_substance_abuse	person_id	driver_at_fault	injury_severity	driver_distracted_by	vehicle_id	vehicle_damage_extent	vehicle_movement	speed_limit	driverless_vehicle	vehicle_year	vehicle_make	vehicle_model	equipment_problems	drivers_license_state	vehicle_body_type	non_motorist_substance_abuse
MCP3125003X	220053266	Montgomery County Police	Property Damage Crash	2022-12-02T15:27:00.000	County	HEAD ON LEFT TURN	CLEAR	DRY	DAYLIGHT	TRAFFIC SIGNAL	OTHER	86290F78-598F-4536-A03B-60642B780DA2	No	NO APPARENT INJURY	NOT DISTRACTED	036BE4A2-ECF5-42D0-AEF1-5C3AB71B001D	SUPERFICIAL	MAKING LEFT TURN	35	No	2022	MAZDA	CX30	NO MISUSE	MD	PASSENGER CAR	UNKNOWN
MCP13780130	220053240	Montgomery County Police	Property Damage Crash	2022-12-02T14:50:00.000	UNKNOWN	SINGLE VEHICLE	CLOUDY	OTHER	DAYLIGHT	NO CONTROLS	NONE DETECTED	3D19DFB5-2FC8-4681-8A7B-72460F9F4C38	Yes	NO APPARENT INJURY	NOT DISTRACTED	572F9ECA-AC0B-4184-9C42-1D977F2D97C8	FUNCTIONAL	ACCELERATING	5	No	2019	CHEVROLET	MALIBU	NO MISUSE	MD	PASSENGER CAR	UNKNOWN
MCP2946004S	220053237	Montgomery County Police	Injury Crash	2022-12-02T14:43:00.000	County	SAME DIR REAR END	CLEAR	DRY	DAYLIGHT	YIELD SIGN	NONE DETECTED	828BBC49-FA18-4E8D-AF75-B6BC59D4136D	No	POSSIBLE INJURY	NOT DISTRACTED	7687F301-E2E2-48A7-9BFE-0F5C150E5BDB	FUNCTIONAL	STOPPED IN TRAFFIC LANE	40	No	2009	TOYOTA	CAMRY	NO MISUSE	MD	PASSENGER CAR	UNKNOWN
MCP2946004S	220053237	Montgomery County Police	Injury Crash	2022-12-02T14:43:00.000	County	SAME DIR REAR END	CLEAR	DRY	DAYLIGHT	YIELD SIGN	NONE DETECTED	0E5A646F-84A3-42D2-8DC9-5A722235C7FF	Yes	NO APPARENT INJURY	OTHER CELLULAR PHONE RELATED	A4BF8BF3-1EE5-4965-B3D8-F843AD0CD2FA	SUPERFICIAL	STARTING FROM LANE	40	No	2018	TOYOTA	TACOMA	NO MISUSE	MD	PICKUP TRUCK	UNKNOWN
MCP2637004T	220053230	Montgomery County Police	Property Damage Crash	2022-12-02T14:00:00.000	Maryland (State)	SINGLE VEHICLE	CLOUDY	DRY	DAYLIGHT	OTHER	NONE DETECTED	0FDC47D2-3D9D-4FD9-AA15-74F9B4508173	Yes	NO APPARENT INJURY	INATTENTIVE OR LOST IN THOUGHT	F828E6D6-3D31-4B04-AE9A-76113D1BC53C	DESTROYED	MOVING CONSTANT SPEED	40	No	2009	TOYOTA	CAMRY	NO MISUSE	MD	PASSENGER CAR	UNKNOWN
MCP3161004H	220053256	Montgomery County Police	Property Damage Crash	2022-12-02T13:20:00.000	Maryland (State)	SAME DIR REAR END	CLEAR	DRY	DAYLIGHT	NO CONTROLS	NONE DETECTED	C07B20CC-063A-4191-8514-7C1A0BE5ABA3	Yes	NO APPARENT INJURY	UNKNOWN	EAF9FBC3-6F60-419C-B476-4FB52EC2C8BB	SUPERFICIAL	SLOWING OR STOPPING	35	No	2008	STERLING	DUMP TRUCK	NO MISUSE	MD	OTHER LIGHT TRUCKS (10,000LBS (4,536KG) OR LESS)	UNKNOWN
MCP32000071	220053221	Montgomery County Police	Injury Crash	2022-12-02T13:20:00.000	Maryland (State)	SAME DIR REAR END	CLEAR	DRY	DAYLIGHT	TRAFFIC SIGNAL	NONE DETECTED	97644054-9FAE-40F4-8036-A6C59ACC3992	Yes	NO APPARENT INJURY	NOT DISTRACTED	3ED9788F-1152-4CA0-AF30-4B25F1CD3371	NO DAMAGE	MAKING LEFT TURN	35	No	2022	HONDA	CR-V	NO MISUSE	MD	(SPORT) UTILITY VEHICLE	UNKNOWN
MCP3161004H	220053256	Montgomery County Police	Property Damage Crash	2022-12-02T13:20:00.000	Maryland (State)	SAME DIR REAR END	CLEAR	DRY	DAYLIGHT	NO CONTROLS	NONE DETECTED	21BE9EA5-0935-498F-AB89-8DE2612A8FEC	No	NO APPARENT INJURY	NOT DISTRACTED	3701F989-A602-4EAC-A89E-A7F8713E75DB	SUPERFICIAL	STOPPED IN TRAFFIC LANE	35	No	2021	TOYOTA	CAMRY	NO MISUSE	FL	PASSENGER CAR	UNKNOWN
MCP32000071	220053221	Montgomery County Police	Injury Crash	2022-12-02T13:20:00.000	Maryland (State)	SAME DIR REAR END	CLEAR	DRY	DAYLIGHT	TRAFFIC SIGNAL	NONE DETECTED	404ED221-7975-4EC1-9DD0-3C2084CBBC9C	No	POSSIBLE INJURY	NOT DISTRACTED	7A9BCEA8-E72F-43B5-8FCD-6BB60F68183F	SUPERFICIAL	MAKING LEFT TURN	35	No	2017	KIA	FORTE	NO MISUSE	MD	PASSENGER CAR	UNKNOWN
MCP2239002F	220053220	Montgomery County Police	Property Damage Crash	2022-12-02T13:16:00.000	County	OTHER	CLEAR	DRY	DAYLIGHT	TRAFFIC SIGNAL	NONE DETECTED	5DBAEE3B-3F77-4B2F-A82E-2EE9F7073CE9	Yes	NO APPARENT INJURY	LOOKED BUT DID NOT SEE	6A89C37B-F5C6-481D-BC78-95264593A6B7	DISABLING	MOVING CONSTANT SPEED	35	No	2003	LINCOLN	4S	NO MISUSE	MD	PASSENGER CAR	UNKNOWN
MCP2239002F	220053220	Montgomery County Police	Property Damage Crash	2022-12-02T13:16:00.000	County	OTHER	CLEAR	DRY	DAYLIGHT	TRAFFIC SIGNAL	OTHER	8B6243BE-EF09-4C51-82D4-DC146BEAAAF9	No	NO APPARENT INJURY	NOT DISTRACTED	2FF53D6D-5D69-4E81-871A-4D2F75B7564E	DISABLING	ACCELERATING	35	No	2010	LEXUS	4S	NO MISUSE	MD	PASSENGER CAR	UNKNOWN
MCP2239002F	220053220	Montgomery County Police	Property Damage Crash	2022-12-02T13:16:00.000	County	OTHER	CLEAR	DRY	DAYLIGHT	TRAFFIC SIGNAL	OTHER	9730B38C-D2C4-4664-BDE0-08DCB852DCF5	No	NO APPARENT INJURY	NOT DISTRACTED	C021060E-8321-4F5B-B4E1-3FF1CA5DED47	DISABLING	ACCELERATING	35	No	2022	DODGE	PK	NO MISUSE	MD	PASSENGER CAR	UNKNOWN
MCP3272001V	220053195	Montgomery County Police	Injury Crash	2022-12-02T12:00:00.000	Maryland (State)	SAME DIRECTION SIDESWIPE	CLEAR	DRY	DAYLIGHT	NO CONTROLS	NONE DETECTED	1359EA60-1B24-4DEB-A289-4210ED784405	No	POSSIBLE INJURY	NOT DISTRACTED	FC786C28-0A15-4998-8C90-8B2DD76C9300	DISABLING	MOVING CONSTANT SPEED	35	No	2021	HONDA	ACCORD	NO MISUSE	MD	PASSENGER CAR	UNKNOWN
MCP3272001V	220053195	Montgomery County Police	Injury Crash	2022-12-02T12:00:00.000	Maryland (State)	SAME DIRECTION SIDESWIPE	CLEAR	DRY	DAYLIGHT	NO CONTROLS	NONE DETECTED	046342E6-C727-4DA3-BB6D-29755FDD209A	Yes	NO APPARENT INJURY	LOOKED BUT DID NOT SEE	DFC4F6B3-2AF2-453F-A544-8B826D5CA2EE	FUNCTIONAL	CHANGING LANES	35	No	2001	FORD	F350	NO MISUSE	MD	OTHER LIGHT TRUCKS (10,000LBS (4,536KG) OR LESS)	UNKNOWN
MCP209400KW	220053200	Montgomery County Police	Property Damage Crash	2022-12-02T11:59:00.000	County	HEAD ON LEFT TURN	CLEAR	DRY	DAYLIGHT	TRAFFIC SIGNAL	NONE DETECTED	54F1959A-DAFD-46DE-B7BB-0B3DCD513746	Yes	NO APPARENT INJURY	UNKNOWN	17FB82D6-21AE-43D5-88F4-0A69B48E1924	DISABLING	MOVING CONSTANT SPEED	35	No	2018	SUBARU	FORESTER	NO MISUSE	MD	(SPORT) UTILITY VEHICLE	UNKNOWN
MCP209400KW	220053200	Montgomery County Police	Property Damage Crash	2022-12-02T11:59:00.000	County	HEAD ON LEFT TURN	CLEAR	DRY	DAYLIGHT	TRAFFIC SIGNAL	NONE DETECTED	435C1A5C-0D7A-4BAE-9F3B-5BD47C4884E0	No	NO APPARENT INJURY	NOT DISTRACTED	ED405181-80E4-4DF8-B5F1-2D48F34626A5	FUNCTIONAL	MAKING LEFT TURN	35	No	2021	TESLA	S	NO MISUSE	MD	PASSENGER CAR	UNKNOWN
EJ7888003B	220053190	Gaithersburg Police Depar	Injury Crash	2022-12-02T11:00:00.000	Maryland (State)	SAME DIR REAR END	CLEAR	DRY	DAYLIGHT	OTHER	NONE DETECTED	B641277D-D82C-42FF-8608-0C8A82F00A76	No	SUSPECTED MINOR INJURY	NOT DISTRACTED	89F16EC8-782A-442B-A473-F2A44650A426	FUNCTIONAL	MOVING CONSTANT SPEED	35	No	2016	LEXUS	TK	NO MISUSE	MD	(SPORT) UTILITY VEHICLE	UNKNOWN
EJ7888003B	220053190	Gaithersburg Police Depar	Injury Crash	2022-12-02T11:00:00.000	Maryland (State)	SAME DIR REAR END	CLEAR	DRY	DAYLIGHT	OTHER	NONE DETECTED	E6C1C84C-8970-4CF0-BDCE-F2D719B2779B	Yes	NO APPARENT INJURY	LOOKED BUT DID NOT SEE	8F3AE369-BF79-41CB-84DB-BFCB12D065E6	DISABLING	MOVING CONSTANT SPEED	35	No	2017	TOYT	SD	NO MISUSE	MD	PASSENGER CAR	UNKNOWN
MCP2603004J	220053173	Montgomery County Police	Property Damage Crash	2022-12-02T08:59:00.000	County	OPPOSITE DIRECTION SIDESWIPE	CLEAR	DRY	DAYLIGHT	OTHER	OTHER	B08A61D6-3311-44F8-B6E7-AE32180CF7C7	Yes	NO APPARENT INJURY	BY MOVING OBJECT IN VEHICLE	DCD93A12-CECB-4041-848C-70AC5252AF74	DISABLING	MOVING CONSTANT SPEED	25	No	2012	KIA	SD	OTHER	MD	PASSENGER CAR	UNKNOWN
MCP2603004J	220053173	Montgomery County Police	Property Damage Crash	2022-12-02T08:59:00.000	County	OPPOSITE DIRECTION SIDESWIPE	CLEAR	DRY	DAYLIGHT	OTHER	OTHER	7C73DBD5-4AB6-432A-85B9-F36725A4ACAA	No	NO APPARENT INJURY	NOT DISTRACTED	4AC7607A-B227-40A6-907E-68063ED9683A	DISABLING	MOVING CONSTANT SPEED	25	No	2008	HYUNDAI	SD	OTHER	MD	PASSENGER CAR	UNKNOWN
MCP2641002W	220053160	Montgomery County Police	Property Damage Crash	2022-12-02T07:30:00.000	County	SAME DIRECTION SIDESWIPE	CLEAR	DRY	DAWN	NO CONTROLS	NONE DETECTED	C308EA80-F850-4CFC-AD69-481CECCD89B9	No	NO APPARENT INJURY	NOT DISTRACTED	33DB0E00-98E1-4AC5-94FF-73ECE45CABD1	SUPERFICIAL	MAKING RIGHT TURN	40	No	2020	THOMAS	BUS	NO MISUSE	MD	SCHOOL BUS	UNKNOWN
MCP2641002W	220053160	Montgomery County Police	Property Damage Crash	2022-12-02T07:30:00.000	County	SAME DIRECTION SIDESWIPE	CLEAR	DRY	DAWN	NO CONTROLS	NONE DETECTED	28EA8F30-384D-4A2D-9F80-C1CFE0364D00	Yes	NO APPARENT INJURY	UNKNOWN	9A03DABF-59B3-409A-BE6F-8BA00861F2F8	FUNCTIONAL	CHANGING LANES	40	No	2003	MERCEDES	E320	NO MISUSE	MD	PASSENGER CAR	UNKNOWN
MCP297700B5	220053156	Montgomery County Police	Property Damage Crash	2022-12-02T06:47:00.000	US (State)	SAME DIRECTION SIDESWIPE	CLEAR	DRY	DAWN	NO CONTROLS	NONE DETECTED	1B03AE5E-B365-4D2C-8628-205A70501326	Yes	NO APPARENT INJURY	LOOKED BUT DID NOT SEE	B7580D86-D330-41A8-BD77-EA96E38D7CAE	DISABLING	CHANGING LANES	45	No	2017	FORD	FOCUS	NO MISUSE	MD	PASSENGER CAR	UNKNOWN
MCP297700B5	220053156	Montgomery County Police	Property Damage Crash	2022-12-02T06:47:00.000	US (State)	SAME DIRECTION SIDESWIPE	CLEAR	DRY	DAWN	NO CONTROLS	NONE DETECTED	F06092D5-2127-4B21-871E-D459E910C860	No	NO APPARENT INJURY	NOT DISTRACTED	8035FE2E-BA64-430D-9F8F-32F151DB46C2	FUNCTIONAL	MOVING CONSTANT SPEED	45	No	2013	CHEV	CRUZE	NO MISUSE	MD	PASSENGER CAR	UNKNOWN
MCP297700B5	220053156	Montgomery County Police	Property Damage Crash	2022-12-02T06:47:00.000	US (State)	SAME DIRECTION SIDESWIPE	CLEAR	DRY	DAWN	NO CONTROLS	NONE DETECTED	FEEC20D1-8850-40DA-8244-951376E48BB8	No	NO APPARENT INJURY	NOT DISTRACTED	DBC95ECC-FE19-4826-85F3-11B46F627BE2	FUNCTIONAL	MOVING CONSTANT SPEED	45	No	2022	MAZD	CX5	NO MISUSE	MD	STATION WAGON	UNKNOWN
MCP24460062	220053154	Montgomery County Police	Injury Crash	2022-12-02T06:25:00.000	Maryland (State)	SAME DIR REAR END	CLEAR	DRY	DAWN	NO CONTROLS	NONE DETECTED	36E036FF-45C2-427E-81C1-AF23CE892681	Yes	NO APPARENT INJURY	NOT DISTRACTED	B3D683FC-8622-4E05-9C4B-FF1634C965A8	DISABLING	MOVING CONSTANT SPEED	50	No	2017	BMW	X 3	NO MISUSE	MD	(SPORT) UTILITY VEHICLE	UNKNOWN
MCP24460062	220053154	Montgomery County Police	Injury Crash	2022-12-02T06:25:00.000	Maryland (State)	SAME DIR REAR END	CLEAR	DRY	DAWN	NO CONTROLS	NONE DETECTED	6C15FD47-2852-4B89-8D20-7DF17E0AE7EA	No	POSSIBLE INJURY	NOT DISTRACTED	CF16EE4E-F191-4D63-A4B1-1102C26AF232	DISABLING	SLOWING OR STOPPING	50	No	2007	HONDA	FIT	NO MISUSE	MD	PASSENGER CAR	UNKNOWN
MCP3235001Y	220053148	Montgomery County Police	Injury Crash	2022-12-02T04:00:00.000	Maryland (State)	SINGLE VEHICLE	CLEAR	DRY	DARK LIGHTS ON	NO CONTROLS	NONE DETECTED	DDC8485E-E081-46F6-B921-F579A16FE283	Yes	SUSPECTED MINOR INJURY	UNKNOWN	25786A17-CB99-4538-9FE9-145A341E15AC	DISABLING	MOVING CONSTANT SPEED	45	No	2020	SUBARU	IMPREZA	NO MISUSE	MD	PASSENGER CAR	UNKNOWN
MCP30710027	220053142	Montgomery County Police	Property Damage Crash	2022-12-02T02:09:00.000	Maryland (State)	SINGLE VEHICLE	UNKNOWN	DRY	DARK LIGHTS ON	OTHER	NONE DETECTED	9B635354-DB7C-4F71-951F-EEF520068594	Yes	NO APPARENT INJURY	NOT DISTRACTED	7EE4B5F2-0CEF-47FC-ABDC-5D0C3F5F5757	FUNCTIONAL	MOVING CONSTANT SPEED	45	No	2016	FORD	4S	NO MISUSE	MD	POLICE VEHICLE/EMERGENCY	UNKNOWN
MCP33030013	220053133	Montgomery County Police	Property Damage Crash	2022-12-01T23:24:00.000	Maryland (State)	HEAD ON LEFT TURN	CLEAR	DRY	DARK LIGHTS ON	TRAFFIC SIGNAL	NONE DETECTED	A1405FDF-24DC-44DA-9A96-2ACA39E156F2	Yes	NO APPARENT INJURY	BY OTHER OCCUPANTS	B78E2024-DD40-496D-AB57-C547F860B8AC	DISABLING	MAKING LEFT TURN	40	No	2016	VOLKSWAGON	JETTA	NO MISUSE	MD	PASSENGER CAR	UNKNOWN
MCP33030013	220053133	Montgomery County Police	Property Damage Crash	2022-12-01T23:24:00.000	Maryland (State)	HEAD ON LEFT TURN	CLEAR	DRY	DARK LIGHTS ON	TRAFFIC SIGNAL	NONE DETECTED	CA6D31C5-25AF-4F82-805C-56490D8CFFFA	No	NO APPARENT INJURY	NOT DISTRACTED	10083A75-C1C5-4EF5-AE73-8EDA8C191BCF	DISABLING	MOVING CONSTANT SPEED	40	No	2004	SATU	SW	NO MISUSE	MD	PASSENGER CAR	UNKNOWN
MCP1210005P	220053110	Montgomery County Police	Injury Crash	2022-12-01T20:33:00.000	County	SINGLE VEHICLE	CLOUDY	DRY	DARK NO LIGHTS	OTHER	NONE DETECTED	466C9CB1-4FEE-499C-81D5-28686B62E142	Yes	POSSIBLE INJURY	UNKNOWN	C70ABF7D-272F-48D9-B0F9-F021CFFB7AA2	DISABLING	MOVING CONSTANT SPEED	30	No	2012	HONDA	PILOT	NO MISUSE	MD	(SPORT) UTILITY VEHICLE	UNKNOWN
MCP3232003B	220053107	Montgomery County Police	Property Damage Crash	2022-12-01T20:10:00.000	Maryland (State)	SINGLE VEHICLE	CLEAR	DRY	DARK LIGHTS ON	NO CONTROLS	NONE DETECTED	7C7DB98F-8ABF-42B3-A6BB-E1C8FE12A91F	Yes	NO APPARENT INJURY	NOT DISTRACTED	69596858-CEB2-4B00-A310-341698C10DAD	DISABLING	MOVING CONSTANT SPEED	40	No	2000	TOYOTA	CAMRY	NO MISUSE	MD	PASSENGER CAR	UNKNOWN
MCP29730068	220053102	Montgomery County Police	Property Damage Crash	2022-12-01T20:00:00.000	UNKNOWN	SAME DIRECTION SIDESWIPE	CLEAR	OTHER	DARK LIGHTS ON	OTHER	OTHER	92333EEE-1E4F-43EC-B122-DEF5AA51ED1F	Yes	NO APPARENT INJURY	OTHER DISTRACTION	DFA85742-8926-4179-BAAA-37C64280DCAF	FUNCTIONAL	STARTING FROM PARKED	25	No	2015	NISSAN	4S	NO MISUSE	MD	PASSENGER CAR	UNKNOWN
MCP23610027	220053100	Montgomery County Police	Property Damage Crash	2022-12-01T19:52:00.000	County	STRAIGHT MOVEMENT ANGLE	CLEAR	DRY	DARK LIGHTS ON	STOP SIGN	NONE DETECTED	1A2BEB91-4884-40B5-B777-F926D4D5C660	No	NO APPARENT INJURY	NOT DISTRACTED	48551842-3C59-4EB9-BEF3-3DCF9CCA4B59	DISABLING	MOVING CONSTANT SPEED	35	No	2002	CHEVY	MONTE CARLO	NO MISUSE	MD	PASSENGER CAR	UNKNOWN
MCP23610027	220053100	Montgomery County Police	Property Damage Crash	2022-12-01T19:52:00.000	County	STRAIGHT MOVEMENT ANGLE	CLEAR	DRY	DARK LIGHTS ON	STOP SIGN	NONE DETECTED	D6A66F8B-DE99-46C6-8A76-99288923D67A	Yes	NO APPARENT INJURY	LOOKED BUT DID NOT SEE	BA9F865D-0685-4A59-9A93-F200917DBC5A	DISABLING	MAKING LEFT TURN	35	No	2005	TOYOTA	SCION	NO MISUSE	MD	PASSENGER CAR	UNKNOWN
MCP2939006F	220053101	Montgomery County Police	Injury Crash	2022-12-01T19:37:00.000	Maryland (State)	SAME DIR REAR END	CLEAR	DRY	DARK LIGHTS ON	NO CONTROLS	OTHER	7BF99B54-B5C1-4C94-AD64-C54E1705743C	Yes	NO APPARENT INJURY	INATTENTIVE OR LOST IN THOUGHT	CCE4F827-7B92-4692-B7CF-F9527443D122	FUNCTIONAL	ACCELERATING	40	No	2016	CHEV	TK	NO MISUSE	MD	PASSENGER CAR	UNKNOWN
MCP2939006F	220053101	Montgomery County Police	Injury Crash	2022-12-01T19:37:00.000	Maryland (State)	SAME DIR REAR END	CLEAR	DRY	DARK LIGHTS ON	NO CONTROLS	OTHER	308ADDA9-47D6-4F78-86D2-EED4BAF8BDFA	No	SUSPECTED MINOR INJURY	NOT DISTRACTED	56D16C76-0C13-450B-96EC-4D23007E2B75	FUNCTIONAL	SLOWING OR STOPPING	40	No	2019	TOYT	TK	NO MISUSE	MD	PASSENGER CAR	UNKNOWN
MCP30930047	220053105	Montgomery County Police	Injury Crash	2022-12-01T19:07:00.000	County	OTHER	CLEAR	OTHER	DARK LIGHTS ON	OTHER	OTHER	5F797CED-7F29-488B-AD56-1E971F967D19	No	SUSPECTED MINOR INJURY	NOT DISTRACTED	6EC1BD5A-E1B7-4D88-97CE-3672B4311367	DESTROYED	MOVING CONSTANT SPEED	30	No	2007	GMC	YUKON	NO MISUSE	MD	(SPORT) UTILITY VEHICLE	UNKNOWN
MCP30930047	220053105	Montgomery County Police	Injury Crash	2022-12-01T19:07:00.000	County	OTHER	CLEAR	OTHER	DARK LIGHTS ON	OTHER	OTHER	8C522EB1-CCBA-4D02-A77A-E233B2ED36BD	Yes	SUSPECTED MINOR INJURY	UNKNOWN	9E76F7F1-4928-4B1C-8A9E-1E21608BDFCE	DESTROYED	MAKING LEFT TURN	25	No	2017	TOYT	CAM	NO MISUSE	DC	PASSENGER CAR	UNKNOWN
DM8498000L	220053094	Takoma Park Police Depart	Property Damage Crash	2022-12-01T19:05:00.000	Government	HEAD ON	CLEAR	DRY	OTHER	NO CONTROLS	ALCOHOL PRESENT	5C9CB8C3-BA3E-4D26-B61F-0A85826D9E2C	Yes	NO APPARENT INJURY	NOT DISTRACTED	7DD55516-97CF-4DDA-8FF5-5E8C458AA2FD	FUNCTIONAL	MOVING CONSTANT SPEED	25	No	2019	HONDA	ACCORD	OTHER	DC	PASSENGER CAR	UNKNOWN
DM8498000L	220053094	Takoma Park Police Depart	Property Damage Crash	2022-12-01T19:05:00.000	Government	HEAD ON	CLEAR	DRY	OTHER	NO CONTROLS	NONE DETECTED	B1CFDCF7-01A6-4262-8381-9B638C1B2902	No	NO APPARENT INJURY	NOT DISTRACTED	C9245219-340F-403C-8B4F-DF36BC687806	DISABLING	MOVING CONSTANT SPEED	25	No	2007	TOYOTA	RAV4	NO MISUSE	MD	(SPORT) UTILITY VEHICLE	UNKNOWN
MCP1210005Q	220053097	Montgomery County Police	Property Damage Crash	2022-12-01T19:00:00.000	Maryland (State)	SAME DIRECTION SIDESWIPE	CLOUDY	DRY	DARK LIGHTS ON	NO CONTROLS	OTHER	5787417B-35E6-41BB-A9B9-58D254C9EE3B	Yes	NO APPARENT INJURY	UNKNOWN	80E4BA7E-1552-41B2-A9E5-C3D782EA3D23	FUNCTIONAL	MOVING CONSTANT SPEED	40	No	2006	JEEP	LIBERTY	OTHER	UNKNOWN	(SPORT) UTILITY VEHICLE	UNKNOWN
MCP1210005Q	220053097	Montgomery County Police	Property Damage Crash	2022-12-01T19:00:00.000	Maryland (State)	SAME DIRECTION SIDESWIPE	CLOUDY	DRY	DARK LIGHTS ON	NO CONTROLS	NONE DETECTED	72C57D41-B1C1-4E2D-B926-BF23746736B3	No	NO APPARENT INJURY	UNKNOWN	9082905C-AF92-468E-8CE6-D6608B0BA190	SUPERFICIAL	MOVING CONSTANT SPEED	40	No	2012	NISSAN	VERSA	NO MISUSE	MD	PASSENGER CAR	UNKNOWN
MCP1378012Z	220053074	Montgomery County Police	Injury Crash	2022-12-01T17:16:00.000	Maryland (State)	SINGLE VEHICLE	CLEAR	DRY	DARK LIGHTS ON	NO CONTROLS	NONE DETECTED	0B93B639-8378-40D0-A0BE-8FEB322CFCFD	No	NO APPARENT INJURY	NOT DISTRACTED	5DE2014C-04C7-41C3-835C-169F6BE71BEB	SUPERFICIAL	MOVING CONSTANT SPEED	40	No	2015	TOYT	COROLLA	NO MISUSE	MD	PASSENGER CAR	NONE DETECTED
MCP2656006G	220053072	Montgomery County Police	Property Damage Crash	2022-12-01T17:00:00.000	County	STRAIGHT MOVEMENT ANGLE	CLEAR	DRY	DARK LIGHTS ON	OTHER	OTHER	F0DC3108-3114-446D-BE21-FFD8B4F68DED	No	NO APPARENT INJURY	NOT DISTRACTED	BD5ED21D-738B-49FD-A26B-5C555D942D26	FUNCTIONAL	SLOWING OR STOPPING	30	No	2022	CHEVROLET	SUBURBAN	NO MISUSE	MD	(SPORT) UTILITY VEHICLE	UNKNOWN
MCP2656006G	220053072	Montgomery County Police	Property Damage Crash	2022-12-01T17:00:00.000	County	STRAIGHT MOVEMENT ANGLE	CLEAR	DRY	DARK LIGHTS ON	OTHER	OTHER	A7CAD603-E96F-4686-9F86-C3B453BAF250	Yes	NO APPARENT INJURY	LOOKED BUT DID NOT SEE	EA337260-8284-4659-A11E-BF12CFD007B5	FUNCTIONAL	STARTING FROM LANE	30	No	2018	FORD	CP	NO MISUSE	MD	PASSENGER CAR	UNKNOWN
MCP3336000F	220053099	Montgomery County Police	Property Damage Crash	2022-12-01T16:53:00.000	Maryland (State)	SAME DIR REND LEFT TURN	CLEAR	DRY	DARK LIGHTS ON	TRAFFIC SIGNAL	NONE DETECTED	363F225A-0114-40B2-9A10-8490C71A8AD9	Yes	NO APPARENT INJURY	DISTRACTED BY OUTSIDE PERSON OBJECT OR EVENT	2CF3A8DF-D229-467B-AB56-A4796C9E6926	SUPERFICIAL	MAKING LEFT TURN	35	No	2016	FORD	TK	NO MISUSE	MD	FIRE VEHICLE/EMERGENCY	UNKNOWN
MCP3336000F	220053099	Montgomery County Police	Property Damage Crash	2022-12-01T16:53:00.000	Maryland (State)	SAME DIR REND LEFT TURN	CLEAR	DRY	DARK LIGHTS ON	TRAFFIC SIGNAL	NONE DETECTED	55839C8F-1A8D-439E-8845-3C419E8FADE7	No	NO APPARENT INJURY	NOT DISTRACTED	54966ABF-CA65-4FE2-9DAC-36007C7D021A	SUPERFICIAL	STOPPED IN TRAFFIC LANE	35	No	2005	TOYOTA	SD	NO MISUSE	MD	PASSENGER CAR	UNKNOWN
MCP3125003W	220053062	Montgomery County Police	Property Damage Crash	2022-12-01T16:20:00.000	County	SINGLE VEHICLE	UNKNOWN	DRY	DAYLIGHT	NO CONTROLS	OTHER	298AA7C9-27BF-4BF2-8D2C-89E3A6756DA8	Yes	NO APPARENT INJURY	UNKNOWN	767A66B9-E845-425E-9BE5-F005F556B835	DISABLING	MOVING CONSTANT SPEED	35	No	2003	HOND	ACCORD	NO MISUSE	MD	PASSENGER CAR	UNKNOWN
MCP2314001W	220053068	Montgomery County Police	Injury Crash	2022-12-01T16:20:00.000	Maryland (State)	HEAD ON LEFT TURN	CLEAR	DRY	DAYLIGHT	NO CONTROLS	NONE DETECTED	513B6484-FAA3-433D-B3A1-D62E9DB470EA	No	NO APPARENT INJURY	NOT DISTRACTED	91C85A7B-713D-47EF-89AD-EE6E02E89313	DISABLING	MAKING RIGHT TURN	40	No	2013	TOYOTA	SIENNA	NO MISUSE	MD	VAN	UNKNOWN
MCP2314001W	220053068	Montgomery County Police	Injury Crash	2022-12-01T16:20:00.000	Maryland (State)	HEAD ON LEFT TURN	CLEAR	DRY	DAYLIGHT	NO CONTROLS	NONE DETECTED	E5941B91-BB1E-4C38-A534-0D1FA0BE43F8	No	POSSIBLE INJURY	NOT DISTRACTED	3381200A-4411-4973-9045-6B7A172DE7A8	DISABLING	MOVING CONSTANT SPEED	40	No	2017	HONDA	ACCORD	NO MISUSE	MD	PASSENGER CAR	UNKNOWN
MCP2314001W	220053068	Montgomery County Police	Injury Crash	2022-12-01T16:20:00.000	Maryland (State)	HEAD ON LEFT TURN	CLEAR	DRY	DAYLIGHT	NO CONTROLS	NONE DETECTED	D4755245-1EA7-42D0-BB79-4EF5953E4173	Yes	POSSIBLE INJURY	NOT DISTRACTED	0C6D6D62-42A1-4257-BB08-7121F5870C8B	DISABLING	MAKING LEFT TURN	40	No	2013	SUBARU	IMPREZA	NO MISUSE	MD	STATION WAGON	UNKNOWN
MCP2356002J	220053059	Montgomery County Police	Injury Crash	2022-12-01T15:59:00.000	Maryland (State)	SAME DIR REAR END	CLEAR	DRY	DAYLIGHT	TRAFFIC SIGNAL	NONE DETECTED	83A4F5B4-A511-446B-BD90-B4DA12D8ADD7	No	POSSIBLE INJURY	NOT DISTRACTED	C9908BB7-3FA5-4901-8150-A3E162B359C7	DISABLING	STOPPED IN TRAFFIC LANE	40	No	2010	LINCOLN	MKS	NO MISUSE	DC	PASSENGER CAR	UNKNOWN
