report_number	local_case_number	agency_name	acrs_report_type	crash_date_time	hit_run	at_fault	collision_type	weather	surface_condition	light	driver_substance_abuse	fixed_oject_struck	road_condition	lane_type	related_non_motorist	non_motorist_substance_abuse
MCP2286004Q	220052355	Montgomery County Police	Injury Crash	2022-11-27T19:00:00.000	No	DRIVER	STRAIGHT MOVEMENT ANGLE	OTHER	WET	DARK NO LIGHTS	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3192003D	220052354	Montgomery County Police	Injury Crash	2022-11-27T18:52:00.000	No	DRIVER	STRAIGHT MOVEMENT ANGLE	CLEAR	WET	DARK NO LIGHTS	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3086007Q	220052350	Montgomery County Police	Property Damage Crash	2022-11-27T18:10:00.000	No	DRIVER	HEAD ON	CLOUDY	WET	DARK NO LIGHTS	NONE DETECTED	GUARDRAIL OR BARRIER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3192003C	220052351	Montgomery County Police	Property Damage Crash	2022-11-27T17:46:00.000	Yes	DRIVER	OTHER	RAINING	WET	DARK NO LIGHTS	UNKNOWN, NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP27100048	220052348	Montgomery County Police	Property Damage Crash	2022-11-27T17:34:00.000	No	DRIVER	SINGLE VEHICLE	RAINING	WET	DARK LIGHTS ON	NONE DETECTED	CURB	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP219800CD	220052341	Montgomery County Police	Property Damage Crash	2022-11-27T16:05:00.000	Yes	DRIVER	SAME DIR REAR END	RAINING	WET	DAYLIGHT	OTHER	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP32260039	220052330	Montgomery County Police	Property Damage Crash	2022-11-27T14:47:00.000	No	DRIVER	SAME DIR REAR END	RAINING	WET	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP219800CC	220052323	Montgomery County Police	Property Damage Crash	2022-11-27T14:03:00.000	No	DRIVER	OPPOSITE DIRECTION SIDESWIPE	RAINING	OTHER	DAYLIGHT	OTHER	OTHER	OTHER	OTHER	OTHER	UNKNOWN
MCP3211003D	220052318	Montgomery County Police	Property Damage Crash	2022-11-27T13:37:00.000	No	UNKNOWN	SINGLE VEHICLE	CLOUDY	WET	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2411009P	220052440	Montgomery County Police	Property Damage Crash	2022-11-27T13:30:00.000	Yes	DRIVER	OTHER	CLEAR	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	UNKNOWN
MCP3339000Y	220052313	Montgomery County Police	Property Damage Crash	2022-11-27T13:02:00.000	No	DRIVER	SAME DIRECTION SIDESWIPE	RAINING	WET	DAYLIGHT	NONE DETECTED	TREE SHRUBBERY	NO DEFECTS	OFF ROAD	OTHER	UNKNOWN
EJ78880037	220052309	Gaithersburg Police Depar	Injury Crash	2022-11-27T12:45:00.000	No	DRIVER	SAME DIR REAR END	RAINING	WET	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	LEFT TURN LANE	OTHER	UNKNOWN
MCP28810054	220052306	Montgomery County Police	Injury Crash	2022-11-27T12:34:00.000	No	DRIVER	STRAIGHT MOVEMENT ANGLE	RAINING	WET	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	BICYCLIST	NONE DETECTED
MCP3280002T	220052308	Montgomery County Police	Property Damage Crash	2022-11-27T12:25:00.000	No	UNKNOWN	SAME DIR REAR END	RAINING	WET	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP913000DJ	220052307	Montgomery County Police	Property Damage Crash	2022-11-27T12:18:00.000	No	DRIVER	SAME DIR REAR END	RAINING	WET	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3086007P	220052302	Montgomery County Police	Property Damage Crash	2022-11-27T11:58:00.000	No	DRIVER	SAME DIR REAR END	RAINING	WET	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	RIGHT TURN LANE	OTHER	UNKNOWN
MCP2496003V	220052303	Montgomery County Police	Property Damage Crash	2022-11-27T11:49:00.000	No	UNKNOWN	SAME DIRECTION LEFT TURN	RAINING	WET	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2678003V	220052299	Montgomery County Police	Injury Crash	2022-11-27T11:35:00.000	No	DRIVER	HEAD ON LEFT TURN	RAINING	WET	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3201003G	220052291	Montgomery County Police	Injury Crash	2022-11-27T10:49:00.000	Yes	DRIVER	SAME DIR REAR END	RAINING	WET	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP32690028	220052295	Montgomery County Police	Property Damage Crash	2022-11-27T10:49:00.000	Yes	DRIVER	SAME DIR REAR END	RAINING	WET	DAYLIGHT	OTHER	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3254002L	220052296	Montgomery County Police	Property Damage Crash	2022-11-27T10:30:00.000	Yes	UNKNOWN	SINGLE VEHICLE	RAINING	WET	DAYLIGHT	OTHER	LIGHT SUPPORT POLE	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3199004J	220052288	Montgomery County Police	Property Damage Crash	2022-11-27T09:53:00.000	Yes	DRIVER	STRAIGHT MOVEMENT ANGLE	CLOUDY	OTHER	DAYLIGHT	OTHER	OTHER	OTHER	OTHER	OTHER	UNKNOWN
MCP3267001C	220052274	Montgomery County Police	Property Damage Crash	2022-11-27T04:00:00.000	No	DRIVER	SAME DIR REAR END	CLEAR	DRY	DARK NO LIGHTS	NONE DETECTED	SIGN SUPPORT POLE	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP913000DG	220052289	Montgomery County Police	Property Damage Crash	2022-11-27T02:30:00.000	No	DRIVER	OTHER	CLOUDY	DRY	DARK LIGHTS ON	ALCOHOL PRESENT	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2401001N	220052270	Montgomery County Police	Property Damage Crash	2022-11-27T02:09:00.000	No	DRIVER	OTHER	OTHER	OTHER	DARK LIGHTS ON	OTHER	MAILBOX	OTHER	OTHER	OTHER	UNKNOWN
MCP3214001Y	220052264	Montgomery County Police	Property Damage Crash	2022-11-27T01:02:00.000	No	DRIVER	SAME DIR REAR END	CLEAR	DRY	DARK LIGHTS ON	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3298001L	220052259	Montgomery County Police	Injury Crash	2022-11-27T00:20:00.000	No	DRIVER	HEAD ON LEFT TURN	CLEAR	DRY	DARK LIGHTS ON	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3214001X	220052255	Montgomery County Police	Property Damage Crash	2022-11-26T23:24:00.000	Yes	DRIVER	STRAIGHT MOVEMENT ANGLE	CLEAR	DRY	DARK LIGHTS ON	UNKNOWN, NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2720006Y	220052256	Montgomery County Police	Injury Crash	2022-11-26T23:02:00.000	No	DRIVER	SAME DIR REAR END	CLEAR	DRY	DARK -- UNKNOWN LIGHTING	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2385002P	220052245	Montgomery County Police	Property Damage Crash	2022-11-26T21:39:00.000	No	DRIVER	SINGLE VEHICLE	CLEAR	OTHER	DARK LIGHTS ON	OTHER	LIGHT SUPPORT POLE	OTHER	OTHER	OTHER	UNKNOWN
MCP25640030	220052238	Montgomery County Police	Property Damage Crash	2022-11-26T20:48:00.000	No	DRIVER	ANGLE MEETS LEFT TURN	CLEAR	DRY	DARK LIGHTS ON	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2608004P	220052235	Montgomery County Police	Property Damage Crash	2022-11-26T20:45:00.000	Yes	DRIVER	SAME DIRECTION SIDESWIPE	CLEAR	DRY	DARK LIGHTS ON	UNKNOWN, NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP9399001V	220052249	Montgomery County Police	Property Damage Crash	2022-11-26T19:15:00.000	Yes	DRIVER	STRAIGHT MOVEMENT ANGLE	CLEAR	DRY	DARK LIGHTS ON	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP93900021	220052225	Montgomery County Police	Property Damage Crash	2022-11-26T18:30:00.000	No	DRIVER	SAME DIR REAR END	CLEAR	DRY	DARK LIGHTS ON	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
EJ78760055	220052215	Gaithersburg Police Depar	Property Damage Crash	2022-11-26T17:40:00.000	No	DRIVER	ANGLE MEETS RIGHT TURN	CLEAR	DRY	DARK LIGHTS ON	NONE DETECTED	SIGN SUPPORT POLE	NO DEFECTS	OTHER	OTHER	UNKNOWN
EJ7885002M	220052213	Gaithersburg Police Depar	Property Damage Crash	2022-11-26T17:15:00.000	No	DRIVER	SAME DIRECTION SIDESWIPE	CLEAR	OTHER	DARK LIGHTS ON	NONE DETECTED	CURB	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP23720053	220052204	Montgomery County Police	Injury Crash	2022-11-26T15:53:00.000	No	DRIVER	STRAIGHT MOVEMENT ANGLE	CLEAR	DRY	DAYLIGHT	NONE DETECTED	LIGHT SUPPORT POLE	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP31650047	220052196	Montgomery County Police	Property Damage Crash	2022-11-26T15:00:00.000	No	DRIVER	SINGLE VEHICLE	OTHER	DRY	DAYLIGHT	NONE DETECTED	GUARDRAIL OR BARRIER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3164006D	220052189	Montgomery County Police	Property Damage Crash	2022-11-26T13:50:00.000	Yes	DRIVER	SAME DIR REAR END	OTHER	DRY	DAYLIGHT	NONE DETECTED, UNKNOWN	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2656006F	220052186	Montgomery County Police	Property Damage Crash	2022-11-26T13:00:00.000	No	DRIVER	STRAIGHT MOVEMENT ANGLE	CLEAR	DRY	DAYLIGHT	UNKNOWN, NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
DD5648001J	220052181	Rockville Police Departme	Injury Crash	2022-11-26T12:10:00.000	No	DRIVER	SAME DIR REAR END	CLEAR	DRY	DAYLIGHT	NONE DETECTED	LIGHT SUPPORT POLE	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2411009M	220052171	Montgomery County Police	Injury Crash	2022-11-26T11:05:00.000	No	DRIVER	STRAIGHT MOVEMENT ANGLE	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3094002D	220052699	Montgomery County Police	Property Damage Crash	2022-11-26T11:00:00.000	No	DRIVER	SAME DIR REAR END	OTHER	DRY	DAYLIGHT	OTHER	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
EJ78950038	220052165	Gaithersburg Police Depar	Injury Crash	2022-11-26T09:54:00.000	No	DRIVER	OTHER	CLEAR	DRY	DAYLIGHT	NONE DETECTED	LIGHT SUPPORT POLE	NO DEFECTS	OTHER	OTHER	UNKNOWN
DM8494002J	220052191	Takoma Park Police Depart	Property Damage Crash	2022-11-26T08:14:00.000	Yes	DRIVER	SAME DIRECTION SIDESWIPE	CLEAR	OTHER	DAYLIGHT	OTHER	OTHER	OTHER	OTHER	OTHER	UNKNOWN
MCP2976004M	220052149	Montgomery County Police	Injury Crash	2022-11-26T03:58:00.000	No	UNKNOWN	SINGLE VEHICLE	CLEAR	DRY	DARK LIGHTS ON	OTHER	GUARDRAIL OR BARRIER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP93920019	220052148	Montgomery County Police	Property Damage Crash	2022-11-26T03:55:00.000	No	DRIVER	SINGLE VEHICLE	CLEAR	DRY	DARK NO LIGHTS	OTHER	GUARDRAIL OR BARRIER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP25820049	220052141	Montgomery County Police	Property Damage Crash	2022-11-26T01:42:00.000	No	DRIVER	OTHER	CLEAR	DRY	DARK LIGHTS ON	NONE DETECTED	TREE SHRUBBERY	NO DEFECTS	SHOULDER AREA	OTHER	UNKNOWN
MCP2412001T	220052138	Montgomery County Police	Property Damage Crash	2022-11-26T01:33:00.000	No	DRIVER	STRAIGHT MOVEMENT ANGLE	OTHER	DRY	DARK LIGHTS ON	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
EJ78650061	220052137	Gaithersburg Police Depar	Injury Crash	2022-11-26T01:00:00.000	No	DRIVER	HEAD ON LEFT TURN	CLEAR	DRY	DARK LIGHTS ON	ALCOHOL PRESENT, NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
EJ7809003G	220052122	Gaithersburg Police Depar	Property Damage Crash	2022-11-25T22:12:00.000	No	UNKNOWN	OTHER	CLEAR	DRY	DARK LIGHTS ON	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2608004N	220052116	Montgomery County Police	Property Damage Crash	2022-11-25T20:40:00.000	No	UNKNOWN	SAME DIR BOTH LEFT TURN	CLEAR	DRY	DARK LIGHTS ON	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3173002P	220052115	Montgomery County Police	Injury Crash	2022-11-25T20:33:00.000	No	DRIVER	ANGLE MEETS LEFT TURN	OTHER	DRY	DARK LIGHTS ON	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
EJ78760054	220052109	Gaithersburg Police Depar	Property Damage Crash	2022-11-25T20:00:00.000	Yes	DRIVER	SAME DIRECTION SIDESWIPE	CLEAR	DRY	DARK LIGHTS ON	NONE DETECTED, UNKNOWN	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3114002N	220052107	Montgomery County Police	Property Damage Crash	2022-11-25T19:50:00.000	No	DRIVER	SINGLE VEHICLE	OTHER	DRY	DARK LIGHTS ON	OTHER	TREE SHRUBBERY	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP32280049	220052112	Montgomery County Police	Property Damage Crash	2022-11-25T19:34:00.000	No	DRIVER	SINGLE VEHICLE	CLEAR	DRY	DARK LIGHTS ON	ILLEGAL DRUG PRESENT	TREE SHRUBBERY	NO DEFECTS	OFF ROAD	OTHER	UNKNOWN
MCP2875006J	220052100	Montgomery County Police	Property Damage Crash	2022-11-25T18:08:00.000	No	DRIVER	HEAD ON LEFT TURN	CLEAR	DRY	DARK LIGHTS ON	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3342000N	220052092	Montgomery County Police	Property Damage Crash	2022-11-25T17:08:00.000	No	DRIVER	SAME DIR REAR END	CLEAR	DRY	DARK NO LIGHTS	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3295002J	220052089	Montgomery County Police	Injury Crash	2022-11-25T16:59:00.000	No	DRIVER	STRAIGHT MOVEMENT ANGLE	CLEAR	DRY	DARK LIGHTS ON	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
DD5648001H	220052088	Rockville Police Departme	Injury Crash	2022-11-25T16:55:00.000	No	DRIVER	STRAIGHT MOVEMENT ANGLE	CLEAR	DRY	DARK LIGHTS ON	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP27800067	220052064	Montgomery County Police	Property Damage Crash	2022-11-25T15:00:00.000	No	DRIVER	SINGLE VEHICLE	CLEAR	DRY	DAYLIGHT	OTHER	CURB	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2832007N	220052065	Montgomery County Police	Property Damage Crash	2022-11-25T14:42:00.000	No	DRIVER	SAME DIRECTION SIDESWIPE	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
DD5648001G	220052061	Rockville Police Departme	Property Damage Crash	2022-11-25T14:17:00.000	No	DRIVER	SAME DIRECTION SIDESWIPE	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3339000X	220052059	Montgomery County Police	Injury Crash	2022-11-25T14:01:00.000	No	DRIVER	STRAIGHT MOVEMENT ANGLE	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP22780041	220052050	Montgomery County Police	Injury Crash	2022-11-25T13:27:00.000	No	DRIVER	SINGLE VEHICLE	CLOUDY	WET	DAYLIGHT	NONE DETECTED	CURB	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2356002H	220052093	Montgomery County Police	Injury Crash	2022-11-25T12:00:00.000	No	DRIVER	SINGLE VEHICLE	OTHER	DRY	DAYLIGHT	OTHER	OTHER	NO DEFECTS	OTHER	PEDESTRIAN	UNKNOWN
MCP2832007M	220052037	Montgomery County Police	Property Damage Crash	2022-11-25T11:29:00.000	No	DRIVER	SINGLE VEHICLE	CLEAR	WET	DAYLIGHT	NONE DETECTED	CURB	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP003600GT	220052035	Montgomery County Police	Property Damage Crash	2022-11-25T11:05:00.000	No	DRIVER	SINGLE VEHICLE	CLEAR	WET	DAYLIGHT	NONE DETECTED	CURB	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3086007M	220052033	Montgomery County Police	Injury Crash	2022-11-25T10:50:00.000	No	DRIVER	SAME DIR REAR END	CLEAR	WET	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
DD559500CF	220052032	Rockville Police Departme	Property Damage Crash	2022-11-25T10:48:00.000	No	DRIVER	HEAD ON LEFT TURN	CLOUDY	WET	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP33310013	220052026	Montgomery County Police	Injury Crash	2022-11-25T09:20:00.000	No	DRIVER	SAME DIRECTION RIGHT TURN	CLOUDY	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP0617004Q	220052052	Montgomery County Police	Property Damage Crash	2022-11-25T08:16:00.000	Yes	DRIVER	SAME DIRECTION SIDESWIPE	CLOUDY	DRY	DAYLIGHT	OTHER	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3200006Y	220052021	Montgomery County Police	Property Damage Crash	2022-11-25T08:00:00.000	No	DRIVER	SAME DIRECTION SIDESWIPE	RAINING	WET	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	RIGHT TURN LANE	OTHER	UNKNOWN
MCP33310014	220052015	Montgomery County Police	Property Damage Crash	2022-11-25T06:10:00.000	No	DRIVER	SINGLE VEHICLE	RAINING	WET	DARK LIGHTS ON	NONE DETECTED	FENCE	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2641002V	220052014	Montgomery County Police	Injury Crash	2022-11-25T05:23:00.000	No	DRIVER	STRAIGHT MOVEMENT ANGLE	RAINING	WET	DARK LIGHTS ON	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP33070021	220052005	Montgomery County Police	Property Damage Crash	2022-11-24T22:37:00.000	No	DRIVER	STRAIGHT MOVEMENT ANGLE	CLEAR	DRY	DARK LIGHTS ON	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP28710087	220052001	Montgomery County Police	Injury Crash	2022-11-24T21:50:00.000	No	DRIVER	SINGLE VEHICLE	CLEAR	DRY	DARK LIGHTS ON	NONE DETECTED	CURB	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3342000M	220051996	Montgomery County Police	Property Damage Crash	2022-11-24T19:04:00.000	No	DRIVER	SINGLE VEHICLE	CLEAR	DRY	DARK LIGHTS ON	ALCOHOL PRESENT	GUARDRAIL OR BARRIER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3094002B	220051990	Montgomery County Police	Property Damage Crash	2022-11-24T18:30:00.000	No	DRIVER	SAME DIR REAR END	OTHER	DRY	DARK NO LIGHTS	OTHER	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
EJ785600BS	220051981	Gaithersburg Police Depar	Injury Crash	2022-11-24T17:18:00.000	No	UNKNOWN	OTHER	CLEAR	DRY	DARK LIGHTS ON	OTHER	OTHER	NO DEFECTS	OTHER	PEDESTRIAN	ALCOHOL PRESENT
MCP30440063	220051971	Montgomery County Police	Injury Crash	2022-11-24T14:14:00.000	No	DRIVER	OTHER	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP33350014	220051966	Montgomery County Police	Property Damage Crash	2022-11-24T11:15:00.000	No	DRIVER	OTHER	CLEAR	OTHER	DAYLIGHT	ALCOHOL PRESENT	OTHER	OTHER	OTHER	OTHER	UNKNOWN
MCP3200006X	220051956	Montgomery County Police	Property Damage Crash	2022-11-24T09:58:00.000	No	DRIVER	SAME DIRECTION SIDESWIPE	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
DM8479001P	220051944	Takoma Park Police Depart	Property Damage Crash	2022-11-24T04:20:00.000	Yes	UNKNOWN	SAME DIRECTION SIDESWIPE	CLEAR	OTHER	DARK LIGHTS ON	UNKNOWN, NONE DETECTED	OTHER	OTHER	OTHER	OTHER	UNKNOWN
MCP31440023	220051941	Montgomery County Police	Property Damage Crash	2022-11-24T03:04:00.000	Yes	DRIVER	SAME DIRECTION SIDESWIPE	CLEAR	DRY	DARK LIGHTS ON	UNKNOWN, NONE DETECTED	CURB	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP30170022	220051937	Montgomery County Police	Property Damage Crash	2022-11-24T02:50:00.000	No	DRIVER	SAME DIR REAR END	CLEAR	OTHER	DARK -- UNKNOWN LIGHTING	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3276002D	220051924	Montgomery County Police	Property Damage Crash	2022-11-24T01:04:00.000	Yes	DRIVER	OTHER	CLEAR	DRY	DARK LIGHTS ON	NONE DETECTED, UNKNOWN	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3233003L	220051915	Montgomery County Police	Property Damage Crash	2022-11-23T23:25:00.000	No	DRIVER	SAME DIR REAR END	CLEAR	DRY	DARK LIGHTS ON	ALCOHOL CONTRIBUTED	OTHER	NO DEFECTS	LEFT TURN LANE	OTHER	UNKNOWN
MCP2738004C	220051920	Montgomery County Police	Property Damage Crash	2022-11-23T22:54:00.000	Yes	DRIVER	OTHER	OTHER	OTHER	DARK -- UNKNOWN LIGHTING	OTHER	OTHER	OTHER	OTHER	OTHER	UNKNOWN
MCP31800036	220051903	Montgomery County Police	Property Damage Crash	2022-11-23T22:12:00.000	No	DRIVER	HEAD ON LEFT TURN	CLEAR	DRY	DARK LIGHTS ON	ALCOHOL PRESENT, NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP30440062	220051900	Montgomery County Police	Property Damage Crash	2022-11-23T22:11:00.000	No	DRIVER	STRAIGHT MOVEMENT ANGLE	CLEAR	DRY	DARK LIGHTS ON	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
DD5527004F	220051898	Rockville Police Departme	Property Damage Crash	2022-11-23T22:00:00.000	No	DRIVER	SINGLE VEHICLE	CLEAR	DRY	DARK LIGHTS ON	NONE DETECTED	CURB	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3262002D	220051896	Montgomery County Police	Property Damage Crash	2022-11-23T21:06:00.000	No	DRIVER	STRAIGHT MOVEMENT ANGLE	CLEAR	DRY	DARK LIGHTS ON	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
HA25000008	22002054	Maryland-National Capital	Property Damage Crash	2022-11-23T19:00:00.000	Yes	DRIVER	SINGLE VEHICLE	CLOUDY	OTHER	DARK -- UNKNOWN LIGHTING	OTHER	OTHER TRAFFIC BARRIER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP30940029	220051881	Montgomery County Police	Injury Crash	2022-11-23T18:46:00.000	Yes	DRIVER	OTHER	OTHER	OTHER	DARK LIGHTS ON	NONE DETECTED, UNKNOWN	OTHER	OTHER	OTHER	PEDESTRIAN	NONE DETECTED
MCP9318002K	220051877	Montgomery County Police	Property Damage Crash	2022-11-23T18:13:00.000	No	DRIVER	SAME DIR REAR END	CLEAR	DRY	DARK LIGHTS ON	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3271002N	220051850	Montgomery County Police	Property Damage Crash	2022-11-23T15:40:00.000	No	DRIVER	SAME DIRECTION SIDESWIPE	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3040005L	220051844	Montgomery County Police	Property Damage Crash	2022-11-23T15:30:00.000	No	DRIVER	STRAIGHT MOVEMENT ANGLE	OTHER	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
EJ7851008T	220051845	Gaithersburg Police Depar	Property Damage Crash	2022-11-23T15:25:00.000	No	DRIVER	SAME DIRECTION SIDESWIPE	OTHER	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2927004C	220051838	Montgomery County Police	Property Damage Crash	2022-11-23T14:59:00.000	No	DRIVER	HEAD ON LEFT TURN	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
HA2485000R	22002051	Maryland-National Capital	Injury Crash	2022-11-23T14:05:00.000	No	UNKNOWN	SAME DIR REAR END	OTHER	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2016006L	220051831	Montgomery County Police	Property Damage Crash	2022-11-23T13:46:00.000	Yes	DRIVER	SAME DIR REAR END	CLEAR	DRY	DAYLIGHT	OTHER	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3053005Q	220051827	Montgomery County Police	Property Damage Crash	2022-11-23T13:30:00.000	Yes	DRIVER	SAME DIR REAR END	CLEAR	OTHER	DAYLIGHT	OTHER	OTHER	OTHER	OTHER	OTHER	UNKNOWN
MCP1378012W	220051826	Montgomery County Police	Injury Crash	2022-11-23T13:25:00.000	Yes	DRIVER	OPPOSITE DIRECTION SIDESWIPE	CLEAR	DRY	DAYLIGHT	NONE DETECTED, UNKNOWN	OTHER	NO DEFECTS	LEFT TURN LANE	OTHER	UNKNOWN
MCP2203006L	220051822	Montgomery County Police	Property Damage Crash	2022-11-23T13:05:00.000	No	DRIVER	ANGLE MEETS RIGHT TURN	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP1378012V	220051811	Montgomery County Police	Injury Crash	2022-11-23T12:04:00.000	No	DRIVER	SAME DIR REAR END	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
